,name,pos,valueOverNextRound,ADP,chanceOfStayingOnBoard,preds,pct_better,total_pt_gains,chanceOfStayingOnBoardTwoRounds,chanceOfStayingOnThreeRounds,valueOverTwoRounds,valueOverThreeRounds,auction_value
68,RhamondreStevenson,RB,-14.95134330096326,36.0,0.84,30.324839999999963,0.674,85.11528,0.8257492881194576,0.4012936743170763,-13.26709294978285,9.284835398307393,25.73932509697306
69,NickChubb,RB,-24.769183300963263,22.8,0.61,17.479599999999998,0.614,75.29744,0.5680566047275367,0.05070091410050004,-23.084932949782853,-0.5330046016926104,18.34413543851911
70,AaronJones,RB,-31.312183300963255,39.6,0.87,11.659520000000024,0.604,68.75444,0.8560766295279016,0.4908821132504605,-29.627932949782846,-7.076004601692603,13.415686213917349
71,DalvinCook,RB,-30.458623300963268,84.0,0.96,7.743840000000004,0.574,69.60799999999999,0.9599408431361829,0.8891881987703032,-28.774372949782858,-6.222444601692615,14.058621735872265
72,JamesConner,RB,-36.070743300963265,70.8,0.95,7.511719999999992,0.598,63.99587999999999,0.9487430868591926,0.8437130810558866,-34.386492949782856,-11.834564601692612,9.831348548898085
73,AlvinKamara,RB,-37.47394330096327,56.4,0.93,3.249280000000004,0.57,62.59267999999999,0.9257567251700656,0.748375919699914,-35.78969294978286,-13.237764601692618,8.774402201357015
74,MilesSanders,RB,-32.72862330096325,57.599999999999994,0.93,2.6193200000000005,0.598,67.33800000000001,0.9284030258265814,0.7592836131955585,-31.04437294978284,-8.492444601692597,12.348766968969327
75,JoeMixon,RB,-34.52346330096326,31.2,0.79,2.174879999999997,0.564,65.54316,0.7668680695215743,0.2648148351437979,-32.83921294978285,-10.287284601692605,10.996821713538443
76,BreeceHall,RB,-37.98198330096325,30.0,0.77,-4.590720000000001,0.558,62.08464000000001,0.7475074624530771,0.22942532596473364,-36.29773294978284,-13.745804601692598,8.391726159164355
77,NajeeHarris,RB,-42.260743300963256,38.4,0.86,-4.780360000000004,0.542,57.80588,0.8469711995164283,0.46250785113999016,-40.576492949782846,-18.024564601692603,5.1687930391495165
78,DavidMontgomery,RB,-44.79138330096325,93.6,0.97,-5.827560000000006,0.54,55.27524000000001,0.9652380452568344,0.9098773275355475,-43.10713294978284,-20.555204601692594,3.2626138024467544
79,RachaadWhite,RB,-40.90182330096325,43.199999999999996,0.89,-7.141560000000006,0.522,59.16480000000001,0.8786815164769495,0.5668739764696751,-39.21757294978284,-16.6656446016926,6.192385920136197
80,TravisEtienne,RB,-41.86498330096325,37.199999999999996,0.85,-8.1478,0.538,58.201640000000005,0.8369052854004653,0.43262422866955386,-40.18073294978284,-17.6288046016926,5.466895295779259
81,DameonPierce,RB,-41.41266330096325,42.0,0.88,-9.407160000000019,0.54,58.653960000000005,0.8718406488991737,0.5430450317438116,-39.72841294978284,-17.1764846016926,5.807600805984344
82,CamAkers,RB,-47.951423300963256,73.2,0.95,-12.028639999999994,0.54,52.1152,0.951254701898896,0.8540512741105732,-46.26717294978285,-23.715244601692604,0.8823453189207553
83,IsiahPacheco,RB,-46.27062330096326,79.2,0.96,-15.00676,0.494,53.796,0.9565299806310609,0.8755327352167376,-44.58637294978285,-22.034444601692606,2.148391086414357
84,JerickMcKinnon,RB,-47.42442330096326,141.6,0.98,-19.533360000000016,0.502,52.642199999999995,0.9777844055705686,0.9548039816507279,-45.74017294978285,-23.18824460169261,1.2793027912369865
85,AlexanderMattison,RB,-49.122823300963255,72.0,0.95,-21.997760000000003,0.49,50.9438,0.950031723030724,0.8490243797239566,-47.438572949782845,-24.886644601692602,0.0
86,DAndreSwift,RB,-50.78194330096325,112.8,0.97,-22.672320000000013,0.498,49.28468000000001,0.9720939536906928,0.9353245678745825,-49.09769294978284,-26.545764601692596,0.0
87,AJDillon,RB,-56.396263300963255,114.0,0.97,-25.892080000000014,0.472,43.67036,0.9724144150441061,0.9364668208652256,-54.712012949782846,-32.1600846016926,0.0
88,JavonteWilliams,RB,-54.97398330096326,92.39999999999999,0.97,-29.330800000000032,0.486,45.092639999999996,0.9646652165722482,0.9076765493819967,-53.28973294978285,-30.73780460169261,0.0
89,RaheemMostert,RB,-59.07194330096325,144.0,0.98,-34.900720000000085,0.45,40.99468000000001,0.9781205746685188,0.95589514365802,-57.38769294978284,-34.835764601692595,0.0
90,JalenHurts,QB,-0.9918603376651589,28.799999999999997,0.75,41.07132000000001,0.73,94.77467999999999,0.7257468822499263,0.19447077373357513,-0.8857415852005914,4.521839529732873,38.96363933016372
91,JoeBurrow,QB,-4.0713403376651485,50.4,0.92,35.47187999999998,0.722,91.6952,0.9092847770521059,0.6817961167582924,-3.965221585200581,1.442359529732883,35.72599146128102
92,PatrickMahomes,QB,0.8027796623348706,26.4,0.7,31.324639999999984,0.654,96.56932000000002,0.6736447797120799,0.128537149342415,0.9088984147994381,6.316479529732902,40.85045540671294
93,JoshAllen,QB,-7.0565403376651545,27.599999999999998,0.73,27.71595999999999,0.692,88.71,0.7012503320273853,0.1605987627080705,-6.950421585200587,-1.542840470267123,32.587465990036286
94,JustinFields,QB,-16.397980337665146,74.39999999999999,0.96,19.627240000000015,0.664,79.36856,0.952416532234204,0.858812635834871,-16.29186158520058,-10.884280470267115,22.766232110194316
95,JustinHerbert,QB,-22.058020337665155,75.6,0.96,3.860680000000001,0.614,73.70852,0.9535213421362799,0.8633259143748425,-21.951901585200588,-16.544320470267124,16.815481839437247
96,TrevorLawrence,QB,-27.959460337665163,90.0,0.97,-4.376440000000008,0.59,67.80707999999998,0.9634501565359974,0.9029767708857421,-27.853341585200596,-22.445760470267132,10.610932811893875
97,LamarJackson,QB,-31.32242033766515,49.199999999999996,0.91,-6.143640000000003,0.556,64.44412,0.9051771438786228,0.6656405762664402,-31.216301585200583,-25.80872047026712,7.075244878496748
98,DeshaunWatson,QB,-31.384060337665147,88.8,0.96,-11.181599999999987,0.548,64.38248,0.9628052687519838,0.9004658484683105,-31.27794158520058,-25.870360470267116,7.010438932480563
99,DakPrescott,QB,-32.92142033766515,109.2,0.97,-16.78952,0.526,62.84512,0.9710711266594315,0.9316472359621679,-32.81530158520058,-27.407720470267115,5.394117239303294
100,KirkCousins,QB,-43.534100337665144,110.39999999999999,0.97,-30.47819999999997,0.496,52.232440000000004,0.9714227663887751,0.9329167893805649,-43.42798158520058,-38.02040047026711,0.0
101,DanielJones,QB,-38.052020337665155,111.6,0.97,-37.178400000000025,0.482,57.71451999999999,0.9717635521497217,0.9341418757370109,-37.94590158520059,-32.538320470267124,0.0
102,RussellWilson,QB,-48.32166033766515,139.2,0.98,-38.67592,0.498,47.44488,0.9774322689206884,0.9536531001305902,-48.21554158520058,-42.80796047026712,0.0
103,AaronRodgers,QB,-54.39866033766514,134.4,0.98,-40.04075999999999,0.442,41.36788000000001,0.9766755281688138,0.9511533002606826,-54.292541585200574,-48.88496047026711,0.0
104,GenoSmith,QB,-52.12990033766515,138.0,0.98,-41.006719999999945,0.464,43.63664,0.9772498680518208,0.9530538423106275,-52.02378158520058,-46.61620047026712,0.0
105,JaredGoff,QB,-61.550020337665146,258.0,0.99,-58.972600000000035,0.418,34.21652,0.9855310620604701,0.9777429154575863,-61.44390158520058,-56.036320470267114,0.0
106,TuaTagovailoa,QB,-63.01002033766515,133.2,0.98,-65.69251999999999,0.344,32.756519999999995,0.9764744929684844,0.9504832654789473,-62.903901585200586,-57.49632047026712,0.0
107,MatthewStafford,QB,-66.94126033766514,166.79999999999998,0.98,-82.08696000000009,0.342,28.825280000000003,0.9806839895277789,0.9639575518019063,-66.83514158520057,-61.42756047026711,0.0
108,KennyPickett,QB,-67.92674033766514,206.4,0.98,-97.38460000000012,0.33,27.839800000000004,0.9834568492589526,0.9721031579997842,-67.82062158520057,-62.41304047026711,0.0
109,DerekCarr,QB,-72.61550033766514,262.8,0.99,-109.61423999999991,0.258,23.151040000000002,0.9856737662756021,0.9781151487286123,-72.50938158520057,-67.10180047026711,0.0
110,KylerMurray,QB,-69.81778033766514,207.6,0.98,-112.32760000000003,0.306,25.94876,0.983520050401706,0.972281064834293,-69.71166158520057,-64.30408047026711,0.0
111,AnthonyRichardson,QB,-70.06630033766515,140.4,0.98,-114.04335999999988,0.284,25.700239999999997,0.9776104006280193,0.9542362836501197,-69.96018158520059,-64.55260047026712,0.0
112,JimmyGaroppolo,QB,-72.98298033766515,264.0,0.99,-124.05848000000002,0.286,22.783559999999994,0.9857084539579933,0.9782053075799043,-72.87686158520059,-67.46928047026712,0.0
113,CJStroud,QB,-75.02110033766515,320.4,0.99,-138.23160000000016,0.236,20.74544,0.9869936562851762,0.9814543800868882,-74.91498158520058,-69.50740047026711,0.0
114,JordanLove,QB,-77.99958033766515,294.0,0.99,-140.9047199999998,0.22,17.76696,0.98646567188718,0.9801414991776654,-77.89346158520058,-72.48588047026712,0.0
115,BrockPurdy,QB,-80.57138033766515,319.2,0.99,-143.9098000000001,0.176,15.19516,0.9869719002376184,0.9814009012163436,-80.46526158520058,-75.05768047026712,0.0
116,RyanTannehill,QB,-79.18518033766514,291.59999999999997,0.99,-146.14996000000014,0.2,16.581360000000004,0.9864119697827337,0.9800062277050964,-79.07906158520058,-73.67148047026711,0.0
117,MacJones,QB,-83.83378033766515,321.59999999999997,0.99,-151.66468000000017,0.15,11.932760000000002,0.9870152201086827,0.9815073332860125,-83.72766158520058,-78.32008047026711,0.0
118,BryceYoung,QB,-83.74402033766515,292.8,0.99,-165.90672,0.166,12.02252,0.9864389529285515,0.9800742357793609,-83.63790158520058,-78.23032047026712,0.0
119,TomBrady,QB,-80.11114033766515,360.0,0.99,-172.9902799999998,0.176,15.6554,0.9876169965372981,0.9829634396232025,-80.00502158520058,-74.59744047026712,0.0
